"name","year","fastest_time"
"70th Anniversary Grand Prix",2020,88.451
"Abu Dhabi Grand Prix",2021,86.103
"Argentine Grand Prix",1997,87.981
"Australian Grand Prix",2023,80.235
"Austrian Grand Prix",2021,66.2
"Azerbaijan Grand Prix",2019,103.009
"Bahrain Grand Prix",2004,90.252
"Belgian Grand Prix",2004,105.108
"Brazilian Grand Prix",2018,70.54
"British Grand Prix",2004,78.739
"Canadian Grand Prix",2019,73.078
"Chinese Grand Prix",2004,92.238
"Dutch Grand Prix",2021,71.097
"Eifel Grand Prix",2020,88.139
"Emilia Romagna Grand Prix",2020,75.484
"European Grand Prix",2001,78.354
"French Grand Prix",2002,75.045
"German Grand Prix",2004,73.78
"Hungarian Grand Prix",2002,76.207
"Indian Grand Prix",2011,87.249
"Italian Grand Prix",2004,81.046
"Japanese Grand Prix",2008,78.426
"Korean Grand Prix",2011,99.605
"Luxembourg Grand Prix",1997,78.805
"Malaysian Grand Prix",2017,94.08
"Mexican Grand Prix",2018,78.741
"Mexico City Grand Prix",2021,77.774
"Miami Grand Prix",2023,89.708
"Monaco Grand Prix",2021,72.909
"Portuguese Grand Prix",2020,78.75
"Qatar Grand Prix",2021,83.196
"Russian Grand Prix",2019,95.761
"Sakhir Grand Prix",2020,55.404
"San Marino Grand Prix",2004,80.411
"Saudi Arabian Grand Prix",2021,90.734
"Singapore Grand Prix",2018,101.905
"Spanish Grand Prix",2005,75.641
"Styrian Grand Prix",2020,65.619
"Ṣo Paulo Grand Prix",2021,71.01
"Turkish Grand Prix",2005,84.77
"Tuscan Grand Prix",2020,78.833
"United States Grand Prix",2004,70.399
