"circuitId","count","name.x","circuitRef","name.y","location","country","latitude","longitude","alt","url"
"1",26,"Australian Grand Prix","albert_park","Albert Park Grand Prix Circuit","Melbourne","Australia",-37.8497,144.968,"10","http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit"
"10",37,"German Grand Prix","hockenheimring","Hockenheimring","Hockenheim","Germany",49.3278,8.56583,"103","http://en.wikipedia.org/wiki/Hockenheimring"
"11",38,"Hungarian Grand Prix","hungaroring","Hungaroring","Budapest","Hungary",47.5789,19.2486,"264","http://en.wikipedia.org/wiki/Hungaroring"
"12",5,"European Grand Prix","valencia","Valencia Street Circuit","Valencia","Spain",39.4589,-0.331667,"4","http://en.wikipedia.org/wiki/Valencia_Street_Circuit"
"13",56,"Belgian Grand Prix","spa","Circuit de Spa-Francorchamps","Spa","Belgium",50.4372,5.97139,"401","http://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps"
"14",73,"Italian Grand Prix","monza","Autodromo Nazionale di Monza","Monza","Italy",45.6156,9.28111,"162","http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza"
"15",14,"Singapore Grand Prix","marina_bay","Marina Bay Street Circuit","Marina Bay","Singapore",1.2914,103.864,"18","http://en.wikipedia.org/wiki/Marina_Bay_Street_Circuit"
"16",4,"Japanese Grand Prix","fuji","Fuji Speedway","Oyama","Japan",35.3717,138.927,"583","http://en.wikipedia.org/wiki/Fuji_Speedway"
"17",16,"Chinese Grand Prix","shanghai","Shanghai International Circuit","Shanghai","China",31.3389,121.22,"5","http://en.wikipedia.org/wiki/Shanghai_International_Circuit"
"18",40,"Brazilian Grand Prix","interlagos","Autódromo José Carlos Pace","São Paulo","Brazil",-23.7036,-46.6997,"785","http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace"
"18",40,"São Paulo Grand Prix","interlagos","Autódromo José Carlos Pace","São Paulo","Brazil",-23.7036,-46.6997,"785","http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace"
"19",19,"United States Grand Prix","indianapolis","Indianapolis Motor Speedway","Indianapolis","USA",39.795,-86.2347,"223","http://en.wikipedia.org/wiki/Indianapolis_Motor_Speedway"
"19",19,"Indianapolis 500","indianapolis","Indianapolis Motor Speedway","Indianapolis","USA",39.795,-86.2347,"223","http://en.wikipedia.org/wiki/Indianapolis_Motor_Speedway"
"2",19,"Malaysian Grand Prix","sepang","Sepang International Circuit","Kuala Lumpur","Malaysia",2.76083,101.738,"18","http://en.wikipedia.org/wiki/Sepang_International_Circuit"
"20",41,"European Grand Prix","nurburgring","Nürburgring","Nürburg","Germany",50.3356,6.9475,"578","http://en.wikipedia.org/wiki/N%C3%BCrburgring"
"20",41,"Luxembourg Grand Prix","nurburgring","Nürburgring","Nürburg","Germany",50.3356,6.9475,"578","http://en.wikipedia.org/wiki/N%C3%BCrburgring"
"20",41,"Eifel Grand Prix","nurburgring","Nürburgring","Nürburg","Germany",50.3356,6.9475,"578","http://en.wikipedia.org/wiki/N%C3%BCrburgring"
"20",41,"German Grand Prix","nurburgring","Nürburgring","Nürburg","Germany",50.3356,6.9475,"578","http://en.wikipedia.org/wiki/N%C3%BCrburgring"
"21",30,"Italian Grand Prix","imola","Autodromo Enzo e Dino Ferrari","Imola","Italy",44.3439,11.7167,"37","http://en.wikipedia.org/wiki/Autodromo_Enzo_e_Dino_Ferrari"
"21",30,"Emilia Romagna Grand Prix","imola","Autodromo Enzo e Dino Ferrari","Imola","Italy",44.3439,11.7167,"37","http://en.wikipedia.org/wiki/Autodromo_Enzo_e_Dino_Ferrari"
"21",30,"San Marino Grand Prix","imola","Autodromo Enzo e Dino Ferrari","Imola","Italy",44.3439,11.7167,"37","http://en.wikipedia.org/wiki/Autodromo_Enzo_e_Dino_Ferrari"
"22",33,"Japanese Grand Prix","suzuka","Suzuka Circuit","Suzuka","Japan",34.8431,136.541,"45","http://en.wikipedia.org/wiki/Suzuka_Circuit"
"24",15,"Abu Dhabi Grand Prix","yas_marina","Yas Marina Circuit","Abu Dhabi","UAE",24.4672,54.6031,"3","http://en.wikipedia.org/wiki/Yas_Marina_Circuit"
"25",20,"Argentine Grand Prix","galvez","Autódromo Juan y Oscar Gálvez","Buenos Aires","Argentina",-34.6943,-58.4593,"8","http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Oscar_Alfredo_G%C3%A1lvez"
"26",7,"European Grand Prix","jerez","Circuito de Jerez","Jerez de la Frontera","Spain",36.7083,-6.03417,"37","http://en.wikipedia.org/wiki/Circuito_Permanente_de_Jerez"
"26",7,"Spanish Grand Prix","jerez","Circuito de Jerez","Jerez de la Frontera","Spain",36.7083,-6.03417,"37","http://en.wikipedia.org/wiki/Circuito_Permanente_de_Jerez"
"27",13,"Portuguese Grand Prix","estoril","Autódromo do Estoril","Estoril","Portugal",38.7506,-9.39417,"130","http://en.wikipedia.org/wiki/Aut%C3%B3dromo_do_Estoril"
"28",2,"Pacific Grand Prix","okayama","Okayama International Circuit","Okayama","Japan",34.915,134.221,"266","http://en.wikipedia.org/wiki/TI_Circuit"
"29",11,"Australian Grand Prix","adelaide","Adelaide Street Circuit","Adelaide","Australia",-34.9272,138.617,"58","http://en.wikipedia.org/wiki/Adelaide_Street_Circuit"
"3",20,"Bahrain Grand Prix","bahrain","Bahrain International Circuit","Sakhir","Bahrain",26.0325,50.5106,"7","http://en.wikipedia.org/wiki/Bahrain_International_Circuit"
"3",20,"Sakhir Grand Prix","bahrain","Bahrain International Circuit","Sakhir","Bahrain",26.0325,50.5106,"7","http://en.wikipedia.org/wiki/Bahrain_International_Circuit"
"30",20,"South African Grand Prix","kyalami","Kyalami","Midrand","South Africa",-25.9894,28.0767,"1460","http://en.wikipedia.org/wiki/Kyalami"
"31",1,"European Grand Prix","donington","Donington Park","Castle Donington","UK",52.8306,-1.37528,"88","http://en.wikipedia.org/wiki/Donington_Park"
"32",23,"Mexican Grand Prix","rodriguez","Autódromo Hermanos Rodríguez","Mexico City","Mexico",19.4042,-99.0907,"2227","http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Hermanos_Rodr%C3%ADguez"
"32",23,"Mexico City Grand Prix","rodriguez","Autódromo Hermanos Rodríguez","Mexico City","Mexico",19.4042,-99.0907,"2227","http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Hermanos_Rodr%C3%ADguez"
"33",3,"United States Grand Prix","phoenix","Phoenix street circuit","Phoenix","USA",33.4479,-112.075,"345","http://en.wikipedia.org/wiki/Phoenix_street_circuit"
"34",18,"French Grand Prix","ricard","Circuit Paul Ricard","Le Castellet","France",43.2506,5.79167,"432","http://en.wikipedia.org/wiki/Paul_Ricard_Circuit"
"35",4,"Korean Grand Prix","yeongam","Korean International Circuit","Yeongam County","Korea",34.7333,126.417,"0","http://en.wikipedia.org/wiki/Korean_International_Circuit"
"36",10,"Brazilian Grand Prix","jacarepagua","Autódromo Internacional Nelson Piquet","Rio de Janeiro","Brazil",-22.9756,-43.395,"1126","http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Internacional_Nelson_Piquet"
"37",7,"Detroit Grand Prix","detroit","Detroit Street Circuit","Detroit","USA",42.3298,-83.0401,"177","http://en.wikipedia.org/wiki/Detroit_street_circuit"
"38",14,"British Grand Prix","brands_hatch","Brands Hatch","Kent","UK",51.3569,0.263056,"145","http://en.wikipedia.org/wiki/Brands_Hatch"
"38",14,"European Grand Prix","brands_hatch","Brands Hatch","Kent","UK",51.3569,0.263056,"145","http://en.wikipedia.org/wiki/Brands_Hatch"
"39",33,"Dutch Grand Prix","zandvoort","Circuit Park Zandvoort","Zandvoort","Netherlands",52.3888,4.54092,"6","http://en.wikipedia.org/wiki/Circuit_Zandvoort"
"4",33,"Spanish Grand Prix","catalunya","Circuit de Barcelona-Catalunya","Montmeló","Spain",41.57,2.26111,"109","http://en.wikipedia.org/wiki/Circuit_de_Barcelona-Catalunya"
"40",10,"Belgian Grand Prix","zolder","Zolder","Heusden-Zolder","Belgium",50.9894,5.25694,"36","http://en.wikipedia.org/wiki/Zolder"
"41",6,"Swiss Grand Prix","dijon","Dijon-Prenois","Dijon","France",47.3625,4.89913,"484","http://en.wikipedia.org/wiki/Dijon-Prenois"
"41",6,"French Grand Prix","dijon","Dijon-Prenois","Dijon","France",47.3625,4.89913,"484","http://en.wikipedia.org/wiki/Dijon-Prenois"
"42",1,"Dallas Grand Prix","dallas","Fair Park","Dallas","USA",32.7774,-96.7587,"139","http://en.wikipedia.org/wiki/Fair_Park"
"43",8,"United States Grand Prix West","long_beach","Long Beach","California","USA",33.7651,-118.189,"12","http://en.wikipedia.org/wiki/Long_Beach,_California"
"44",2,"Caesars Palace Grand Prix","las_vegas","Las Vegas Street Circuit","Nevada","USA",36.1162,-115.174,"639","http://en.wikipedia.org/wiki/Las_Vegas_Street_Circuit"
"45",9,"Spanish Grand Prix","jarama","Jarama","Madrid","Spain",40.6171,-3.58558,"609","http://en.wikipedia.org/wiki/Circuito_Permanente_Del_Jarama"
"46",20,"United States Grand Prix","watkins_glen","Watkins Glen","New York State","USA",42.3369,-76.9272,"485","http://en.wikipedia.org/wiki/Watkins_Glen_International"
"47",6,"Swedish Grand Prix","anderstorp","Scandinavian Raceway","Anderstorp","Sweden",57.2653,13.6042,"153","http://en.wikipedia.org/wiki/Scandinavian_Raceway"
"48",8,"Canadian Grand Prix","mosport","Mosport International Raceway","Ontario","Canada",44.0481,-78.6756,"332","http://en.wikipedia.org/wiki/Mosport"
"49",4,"Spanish Grand Prix","montjuic","Montjuïc","Barcelona","Spain",41.3664,2.15167,"79","http://en.wikipedia.org/wiki/Montju%C3%AFc_circuit"
"5",9,"Turkish Grand Prix","istanbul","Istanbul Park","Istanbul","Turkey",40.9517,29.405,"130","http://en.wikipedia.org/wiki/Istanbul_Park"
"50",2,"Belgian Grand Prix","nivelles","Nivelles-Baulers","Brussels","Belgium",50.6211,4.32694,"139","http://en.wikipedia.org/wiki/Nivelles-Baulers"
"51",4,"French Grand Prix","charade","Charade Circuit","Clermont-Ferrand","France",45.7472,3.03889,"790","http://en.wikipedia.org/wiki/Charade_Circuit"
"52",2,"Canadian Grand Prix","tremblant","Circuit Mont-Tremblant","Quebec","Canada",46.1877,-74.6099,"214","http://en.wikipedia.org/wiki/Circuit_Mont-Tremblant"
"53",5,"French Grand Prix","essarts","Rouen-Les-Essarts","Rouen","France",49.3306,1.00458,"81","http://en.wikipedia.org/wiki/Rouen-Les-Essarts"
"54",1,"French Grand Prix","lemans","Le Mans","Le Mans","France",47.95,0.224231,"67","http://en.wikipedia.org/wiki/Circuit_de_la_Sarthe#Bugatti_Circuit"
"55",11,"French Grand Prix","reims","Reims-Gueux","Reims","France",49.2542,3.93083,"88","http://en.wikipedia.org/wiki/Reims-Gueux"
"56",3,"South African Grand Prix","george","Prince George Circuit","Eastern Cape Province","South Africa",-33.0486,27.8736,"15","http://en.wikipedia.org/wiki/Prince_George_Circuit"
"57",1,"Austrian Grand Prix","zeltweg","Zeltweg","Styria","Austria",47.2039,14.7478,"676","http://en.wikipedia.org/wiki/Zeltweg_Airfield"
"58",5,"British Grand Prix","aintree","Aintree","Liverpool","UK",53.4769,-2.94056,"20","http://en.wikipedia.org/wiki/Aintree_Motor_Racing_Circuit"
"59",2,"Portuguese Grand Prix","boavista","Circuito da Boavista","Oporto","Portugal",41.1705,-8.67325,"28","http://en.wikipedia.org/wiki/Circuito_da_Boavista"
"6",69,"Monaco Grand Prix","monaco","Circuit de Monaco","Monte-Carlo","Monaco",43.7347,7.42056,"7","http://en.wikipedia.org/wiki/Circuit_de_Monaco"
"60",1,"United States Grand Prix","riverside","Riverside International Raceway","California","USA",33.937,-117.273,"470","http://en.wikipedia.org/wiki/Riverside_International_Raceway"
"61",1,"German Grand Prix","avus","AVUS","Berlin","Germany",52.4806,13.2514,"53","http://en.wikipedia.org/wiki/AVUS"
"62",1,"Portuguese Grand Prix","monsanto","Monsanto Park Circuit","Lisbon","Portugal",38.7197,-9.20306,"158","http://en.wikipedia.org/wiki/Monsanto_Park_Circuit"
"63",1,"United States Grand Prix","sebring","Sebring International Raceway","Florida","USA",27.4547,-81.3483,"18","http://en.wikipedia.org/wiki/Sebring_Raceway"
"64",1,"Moroccan Grand Prix","ain-diab","Ain Diab","Casablanca","Morocco",33.5786,-7.6875,"19","http://en.wikipedia.org/wiki/Ain-Diab_Circuit"
"65",1,"Pescara Grand Prix","pescara","Pescara Circuit","Pescara","Italy",42.475,14.1508,"129","http://en.wikipedia.org/wiki/Pescara_Circuit"
"66",5,"Swiss Grand Prix","bremgarten","Circuit Bremgarten","Bern","Switzerland",46.9589,7.40194,"551","http://en.wikipedia.org/wiki/Circuit_Bremgarten"
"67",2,"Spanish Grand Prix","pedralbes","Circuit de Pedralbes","Barcelona","Spain",41.3903,2.11667,"85","http://en.wikipedia.org/wiki/Pedralbes_Circuit"
"68",3,"Indian Grand Prix","buddh","Buddh International Circuit","Uttar Pradesh","India",28.3487,77.5331,"194","http://en.wikipedia.org/wiki/Buddh_International_Circuit"
"69",11,"United States Grand Prix","americas","Circuit of the Americas","Austin","USA",30.1328,-97.6411,"161","http://en.wikipedia.org/wiki/Circuit_of_the_Americas"
"7",42,"Canadian Grand Prix","villeneuve","Circuit Gilles Villeneuve","Montreal","Canada",45.5,-73.5228,"13","http://en.wikipedia.org/wiki/Circuit_Gilles_Villeneuve"
"70",37,"Austrian Grand Prix","red_bull_ring","Red Bull Ring","Spielberg","Austria",47.2197,14.7647,"678","http://en.wikipedia.org/wiki/Red_Bull_Ring"
"70",37,"Styrian Grand Prix","red_bull_ring","Red Bull Ring","Spielberg","Austria",47.2197,14.7647,"678","http://en.wikipedia.org/wiki/Red_Bull_Ring"
"71",8,"Russian Grand Prix","sochi","Sochi Autodrom","Sochi","Russia",43.4057,39.9578,"2","http://en.wikipedia.org/wiki/Sochi_Autodrom"
"73",7,"European Grand Prix","baku","Baku City Circuit","Baku","Azerbaijan",40.3725,49.8533,"-7","http://en.wikipedia.org/wiki/Baku_City_Circuit"
"73",7,"Azerbaijan Grand Prix","baku","Baku City Circuit","Baku","Azerbaijan",40.3725,49.8533,"-7","http://en.wikipedia.org/wiki/Baku_City_Circuit"
"75",2,"Portuguese Grand Prix","portimao","Autódromo Internacional do Algarve","Portimão","Portugal",37.227,-8.6267,"108","http://en.wikipedia.org/wiki/Algarve_International_Circuit"
"76",1,"Tuscan Grand Prix","mugello","Autodromo Internazionale del Mugello","Mugello","Italy",43.9975,11.3719,"255","http://en.wikipedia.org/wiki/Mugello_Circuit"
"77",3,"Saudi Arabian Grand Prix","jeddah","Jeddah Corniche Circuit","Jeddah","Saudi Arabia",21.6319,39.1044,"15","http://en.wikipedia.org/wiki/Jeddah_Street_Circuit"
"78",2,"Qatar Grand Prix","losail","Losail International Circuit","Al Daayen","Qatar",25.49,51.4542,"\N","http://en.wikipedia.org/wiki/Losail_International_Circuit"
"79",2,"Miami Grand Prix","miami","Miami International Autodrome","Miami","USA",25.9581,-80.2389,"\N","http://en.wikipedia.org/wiki/Miami_International_Autodrome"
"8",18,"French Grand Prix","magny_cours","Circuit de Nevers Magny-Cours","Magny Cours","France",46.8642,3.16361,"228","http://en.wikipedia.org/wiki/Circuit_de_Nevers_Magny-Cours"
"80",1,"Las Vegas Grand Prix","vegas","Las Vegas Strip Street Circuit","Las Vegas","United States",36.1147,-115.173,"\N","https://en.wikipedia.org/wiki/Las_Vegas_Grand_Prix#Circuit"
"9",58,"British Grand Prix","silverstone","Silverstone Circuit","Silverstone","UK",52.0786,-1.01694,"153","http://en.wikipedia.org/wiki/Silverstone_Circuit"
"9",58,"70th Anniversary Grand Prix","silverstone","Silverstone Circuit","Silverstone","UK",52.0786,-1.01694,"153","http://en.wikipedia.org/wiki/Silverstone_Circuit"
